Year,Player,Position,PosNum,Salary
2017,Stephen Curry,Point Guard,1,"$34,682,550"
2017,LeBron James,Small Forward,3,"$33,285,709"
2017,Paul Millsap,Power Forward,4,"$30,769,231"
2017,Gordon Hayward,Small Forward,3,"$29,727,900"
2017,Blake Griffin,Power Forward,4,"$29,512,900"
2017,Kyle Lowry,Point Guard,1,"$28,703,704"
2017,Mike Conley,Point Guard,1,"$28,530,608"
2017,James Harden,Shooting Guard,2,"$28,299,399"
2017,DeMar DeRozan,Shooting Guard,2,"$27,739,975"
2017,Al Horford,Center,5,"$27,734,405"
2017,Carmelo Anthony,Small Forward,3,"$26,243,760"
2017,Damian Lillard,Point Guard,1,"$26,153,057"
2017,Kevin Durant,Small Forward,3,"$25,000,000"
2017,Jrue Holiday,Point Guard,1,"$24,921,667"
2017,Otto Porter Jr.,Small Forward,3,"$24,773,250"
2017,Chris Paul,Point Guard,1,"$24,268,959"
2017,C.J. McCollum,Shooting Guard,2,"$23,962,572"
2017,Hassan Whiteside,Center,5,"$23,775,506"
2017,Dwight Howard,Center,5,"$23,500,000"
2017,Chandler Parsons,Small Forward,3,"$23,112,004"
2017,J.J. Redick,Shooting Guard,2,"$23,000,000"
2017,Brook Lopez,Center,5,"$22,642,350"
2017,Giannis Antetokounmpo,Small Forward,3,"$22,471,910"
2017,Nicolas Batum,Shooting Guard,2,"$22,434,783"
2017,LaMarcus Aldridge,Power Forward,4,"$21,461,010"
2017,Rudy Gobert,Center,5,"$21,224,719"
2017,Victor Oladipo,Shooting Guard,2,"$21,000,000"
2017,Danilo Gallinari,Small Forward,3,"$20,559,599"
2017,Serge Ibaka,Power Forward,4,"$20,061,728"
2017,George Hill,Point Guard,1,"$20,000,000"
2017,Ryan Anderson,Power Forward,4,"$19,578,454"
2017,Paul George,Small Forward,3,"$19,508,958"
2017,Allen Crabbe,Shooting Guard,2,"$19,332,500"
2017,Jeff Teague,Point Guard,1,"$19,000,000"
2017,Kawhi Leonard,Small Forward,3,"$18,868,625"
2017,DeMarcus Cousins,Center,5,"$18,063,850"
2017,Wesley Matthews,Shooting Guard,2,"$17,884,175"
2017,Klay Thompson,Shooting Guard,2,"$17,826,150"
2017,Joakim Noah,Center,5,"$17,765,000"
2017,Kentavious Caldwell-Pope,Shooting Guard,2,"$17,745,894"
2017,Jimmy Butler,Shooting Guard,2,"$17,546,918"
2017,Luol Deng,Small Forward,3,"$17,190,000"
2017,Evan Turner,Small Forward,3,"$17,131,148"
2017,Goran Dragic,Point Guard,1,"$17,000,450"
2017,Bismack Biyombo,Center,5,"$17,000,000"
2017,Kent Bazemore,Small Forward,3,"$16,910,113"
2017,Robert Covington,Small Forward,3,"$16,698,103"
2017,Ian Mahinmi,Center,5,"$16,661,641"
2017,Tim Hardaway Jr.,Shooting Guard,2,"$16,500,000"
2017,Tristan Thompson,Center,5,"$16,400,000"
2017,Pau Gasol,Center,5,"$16,000,000"
2017,Dennis Schröder,Point Guard,1,"$15,500,000"
2017,Jonas Valanciunas,Center,5,"$15,460,674"
2017,Tony Parker,Point Guard,1,"$15,453,126"
2017,Timofey Mozgov,Center,5,"$15,280,000"
2017,Andre Iguodala,Small Forward,3,"$14,814,815"
2017,DeMarre Carroll,Small Forward,3,"$14,800,000"
2017,Eric Bledsoe,Point Guard,1,"$14,500,000"
2017,Joe Ingles,Small Forward,3,"$14,136,364"
2017,Gorgui Dieng,Center,5,"$14,112,360"
2017,Khris Middleton,Small Forward,3,"$14,100,000"
2017,Mason Plumlee,Center,5,"$14,041,096"
2017,Taj Gibson,Power Forward,4,"$14,000,000"
2017,Robin Lopez,Center,5,"$13,788,500"
2017,J.R. Smith,Shooting Guard,2,"$13,760,000"
2017,James Johnson,Power Forward,4,"$13,734,000"
2017,Brandon Knight,Point Guard,1,"$13,618,750"
2017,Marvin Williams,Power Forward,4,"$13,168,750"
2017,Michael Kidd-Gilchrist,Small Forward,3,"$13,000,000"
2017,Eric Gordon,Shooting Guard,2,"$12,943,020"
2017,Kenneth Faried,Power Forward,4,"$12,921,348"
2017,Marcin Gortat,Center,5,"$12,782,609"
2017,Cody Zeller,Center,5,"$12,584,270"
2017,Nikola Mirotic,Power Forward,4,"$12,500,000"
2017,Zach Randolph,Power Forward,4,"$12,307,692"
2017,Nikola Vucevic,Center,5,"$12,250,000"
2017,Wilson Chandler,Small Forward,3,"$12,016,854"
2017,Kemba Walker,Point Guard,1,"$12,000,000"
2017,Austin Rivers,Shooting Guard,2,"$11,825,000"
2017,Derrick Favors,Power Forward,4,"$11,750,000"
2017,Courtney Lee,Shooting Guard,2,"$11,747,890"
2017,Solomon Hill,Small Forward,3,"$11,747,073"
2017,Jordan Clarkson,Point Guard,1,"$11,562,500"
2017,Dion Waiters,Shooting Guard,2,"$11,000,000"
2017,Patrick Mills,Point Guard,1,"$10,714,286"
2017,Kelly Olynyk,Center,5,"$10,607,169"
2017,Alec Burks,Shooting Guard,2,"$10,595,506"
2017,Omer Asik,Center,5,"$10,595,505"
2017,Terrence Ross,Shooting Guard,2,"$10,500,000"
